,city,cloud (%),country,date,humidity (%),lat,lng,max temp (F),wind (mph)
168,Ghanzi,0,BW,1652046825,34,-21.5667,21.7833,13.0,3.81
169,Fortuna,100,US,1652046826,79,40.5982,-124.1573,10.92,4.12
170,Capinzal,0,BR,1652046826,88,-27.3436,-51.6119,13.74,1.64
171,Dakar,40,SN,1652046787,88,14.6937,-17.4441,22.49,2.06
172,Ulladulla,38,AU,1652046827,81,-35.35,150.4667,14.5,3.25
173,Tarata,5,BO,1652046827,58,-17.6167,-66.0167,19.68,3.52
174,Senanga,56,ZM,1652046679,41,-16.1167,23.2667,19.24,1.67
175,Jamestown,0,US,1652046804,20,42.097,-79.2353,18.8,3.09
176,Diu,1,IN,1652046828,79,20.7141,70.9822,26.85,7.58
177,Chilliwack,100,CA,1652046346,72,49.1747,-121.9443,12.17,2.09
178,Pevek,100,RU,1652046828,85,69.7008,170.3133,-5.15,5.0
179,Saint Paul Harbor,96,US,1652046828,58,57.79,-152.4072,7.36,1.05
180,Airai,51,TL,1652046633,89,-8.9266,125.4092,14.42,1.87
181,Ascension,40,US,1652046753,62,30.2169,-90.9001,34.47,3.09
182,Gamba,82,GA,1652046829,90,-2.65,10.0,25.55,1.7
183,Port Blair,100,IN,1652046829,94,11.6667,92.75,25.02,5.14
184,Hong Kong,100,HK,1652046372,78,22.2855,114.1577,25.21,2.68
185,Neuquén,0,AR,1652046830,40,-38.9516,-68.0591,19.94,3.6
186,Emba,95,KZ,1652046830,37,48.8264,58.1442,11.22,7.62
187,The Hague,20,NL,1652046703,76,52.0767,4.2986,11.64,2.06
188,Ji’an,100,CN,1652046831,96,27.1172,114.9793,21.14,0.69
189,Webuye,96,KE,1652046831,90,0.6075,34.7697,16.45,1.61
190,Coyhaique,7,CL,1652046779,91,-45.5752,-72.0662,9.34,3.34
191,Poum,100,NC,1652046832,62,-20.2333,164.0167,25.09,8.74
192,Kathu,100,TH,1652046832,87,7.9178,98.3332,30.42,2.4
193,Oktyabr'skiy,100,RU,1652046832,52,54.4815,53.471,8.28,0.87
194,San Jerónimo,51,PE,1652046833,62,-11.9472,-75.2829,15.34,2.45
195,Pilar,12,BR,1652046833,89,-9.5972,-35.9567,24.96,1.77
196,Torbay,20,CA,1652046834,71,47.6666,-52.7314,7.38,6.17
197,Jalu,0,LY,1652046834,29,29.0331,21.5482,22.48,5.88
198,Buluang,23,PH,1652046834,90,13.3068,123.3425,24.97,1.09
199,Yumen,72,CN,1652046835,42,40.2833,97.2,14.78,3.62
200,Seoul,0,KR,1652046266,93,37.5683,126.9778,11.69,2.06
201,Macusani,50,PE,1652046835,67,-14.0833,-70.4333,5.76,2.51
